1437
360
[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 2.740666
>> Epoch 80 finished 	ANN training loss 2.296690
>> Epoch 81 finished 	ANN training loss 2.207147
>> Epoch 82 finished 	ANN training loss 2.213116
>> Epoch 83 finished 	ANN training loss 2.479594
>> Epoch 84 finished 	ANN training loss 2.184803
>> Epoch 85 finished 	ANN training loss 2.145601
>> Epoch 86 finished 	ANN training loss 2.331894
>> Epoch 87 finished 	ANN training loss 2.236025
>> Epoch 88 finished 	ANN training loss 2.343825
>> Epoch 89 finished 	ANN training loss 1.923268
>> Epoch 90 finished 	ANN training loss 2.162285
>> Epoch 91 finished 	ANN training loss 2.198585
>> Epoch 92 finished 	ANN training loss 2.443944
>> Epoch 93 finished 	ANN training loss 2.322807
>> Epoch 94 finished 	ANN training loss 2.092216
>> Epoch 95 finished 	ANN training loss 2.326477
>> Epoch 96 finished 	ANN training loss 2.240110
>> Epoch 97 finished 	ANN training loss 2.341988
>> Epoch 98 finished 	ANN training loss 1.917154
>> Epoch 99 finished 	ANN training loss 2.006803
>> Epoch 100 finished 	ANN training loss 1.919281
[END] Fine tuning step
Done.
Accuracy: 0.997222
